time_s,time_h,ppm,flux_mol_m2_s
0,0,36.2079,1.525616e-07
180,0.05,36.4059,1.533960e-07
360,0.1,26.3317,1.109482e-07
540,0.15,33.5099,1.411936e-07
720,0.2,28.5594,1.203347e-07
900,0.25,30.1931,1.272181e-07
1080,0.3,25.0446,1.055249e-07
1260,0.35,27.9406,1.177274e-07
1440,0.4,34.797,1.466169e-07
1620,0.45,49.1782,2.072118e-07
1800,0.5,71.5792,3.015981e-07
1980,0.55,100.317,4.226837e-07
2160,0.6,128.361,5.408491e-07
2340,0.65,173.238,7.299346e-07
2520,0.7,193.535,8.154559e-07
2700,0.75,225.119,9.485354e-07
2880,0.8,248.955,1.048971e-06
3060,0.85,276.208,1.163799e-06
3240,0.9,293.337,1.235970e-06
3420,0.95,306.95,1.293332e-06
3600,1,332.347,1.400338e-06
3780,1.05,331.926,1.398565e-06
3960,1.1,367.347,1.547810e-06
4140,1.15,367.198,1.547184e-06
4320,1.2,369.376,1.556362e-06
4500,1.25,387.371,1.632184e-06
4680,1.3,387.718,1.633644e-06
4860,1.35,389.129,1.639589e-06
5040,1.4,399.302,1.682454e-06
5220,1.45,406.282,1.711865e-06
5400,1.5,402.025,1.693926e-06
5580,1.55,411.059,1.731994e-06
5760,1.6,421.208,1.774754e-06
5940,1.65,420.391,1.771313e-06
6120,1.7,411.455,1.733662e-06
6300,1.75,426.629,1.797595e-06
6480,1.8,428.361,1.804895e-06
6660,1.85,414.252,1.745448e-06
6840,1.9,414.252,1.745448e-06
7020,1.95,416.777,1.756086e-06
7200,2,422.47,1.780073e-06
7380,2.05,430.193,1.812613e-06
7560,2.1,427.941,1.803122e-06
7740,2.15,421.728,1.776945e-06
7920,2.2,423.708,1.785288e-06
8100,2.25,427.248,1.800202e-06
8280,2.3,430.589,1.814282e-06
8460,2.35,421.653,1.776632e-06
8640,2.4,428.386,1.805000e-06
8820,2.45,409.079,1.723650e-06
9000,2.5,416.604,1.755356e-06
9180,2.55,410.861,1.731159e-06
9360,2.6,411.604,1.734288e-06
9540,2.65,411.703,1.734705e-06
9720,2.7,417.396,1.758693e-06
9900,2.75,412.099,1.736374e-06
10080,2.8,401.95,1.693613e-06
10260,2.85,405.317,1.707798e-06
10440,2.9,419.599,1.767975e-06
10620,2.95,411.158,1.732411e-06
10800,3,412.792,1.739294e-06
10980,3.05,422.644,1.780803e-06
11160,3.1,411.554,1.734080e-06
11340,3.15,407.272,1.716037e-06
11520,3.2,415.243,1.749620e-06
11700,3.25,409.921,1.727196e-06
11880,3.3,413.832,1.743675e-06
12060,3.35,404.946,1.706233e-06
12240,3.4,408.361,1.720626e-06
12420,3.45,409.45,1.725215e-06
12600,3.5,429.03,1.807711e-06
12780,3.55,408.287,1.720313e-06
12960,3.6,413.708,1.743153e-06
13140,3.65,417.05,1.757233e-06
13320,3.7,413.361,1.741693e-06
13500,3.75,420.762,1.772877e-06
13680,3.8,419.748,1.768601e-06
13860,3.85,417.594,1.759527e-06
14040,3.9,410.49,1.729595e-06
14220,3.95,419.673,1.768288e-06
14400,4,413.386,1.741797e-06
